run_a,run_b,n_common,spearman_rho,jaccard_top10pct,same_architecture
cbam_resnet_S9_seed126,se_resnet_S4_seed42,241,0.15332550324062963,0.041666666666666664,False
cbam_resnet_S9_seed126,se_resnet_S2_seed42,241,0.15332550324062963,0.041666666666666664,False
cbam_resnet_S8_seed84,se_resnet_S11_seed3407,241,0.14908610815815646,0.11363636363636363,False
resnet_baseline_S17_seed3407,resnet_baseline_S3_seed84,240,0.14426552544315005,0.11363636363636363,True
resnet_baseline_S10_seed126,resnet_baseline_S1_seed42,241,0.14089108741126846,0.08695652173913043,True
resnet_baseline_S10_seed126,se_resnet_S4_seed42,241,0.139511676554302,0.08695652173913043,False
resnet_baseline_S10_seed126,se_resnet_S2_seed42,241,0.139511676554302,0.08695652173913043,False
cbam_resnet_S8_seed84,resnet_baseline_S1_seed42,241,0.136812009190357,0.13636363636363635,False
resnet_baseline_S1_seed42,se_resnet_S4_seed42,241,0.13660454031068894,0.16279069767441862,False
resnet_baseline_S1_seed42,se_resnet_S2_seed42,241,0.13660454031068894,0.16279069767441862,False
resnet_baseline_S17_seed3407,vit_b16_S12_seed42,240,0.13405441066685184,0.06521739130434782,False
cbam_resnet_S9_seed126,resnet_baseline_S17_seed3407,240,0.13293720377089877,0.13953488372093023,False
resnet_baseline_S17_seed3407,resnet_baseline_S1_seed42,240,0.12971666174759977,0.1111111111111111,True
se_resnet_S2_seed42,se_resnet_S5_seed84,241,0.12839837454133948,0.16279069767441862,True
se_resnet_S4_seed42,se_resnet_S5_seed84,241,0.12839837454133948,0.16279069767441862,True
se_resnet_S6_seed126,vit_b16_S12_seed42,241,0.12467507972977608,0.06382978723404255,False
cbam_resnet_S8_seed84,resnet_baseline_S3_seed84,241,0.12370203353794453,0.08695652173913043,False
cbam_resnet_S7_seed42,resnet_baseline_S1_seed42,239,0.12201047783129985,0.11363636363636363,False
resnet_baseline_S17_seed3407,se_resnet_S11_seed3407,240,0.11967134846091074,0.11363636363636363,False
cbam_resnet_S18_seed3407,resnet_baseline_S1_seed42,241,0.10769006549843971,0.0425531914893617,False
cbam_resnet_S18_seed3407,vit_b16_S15_seed126,242,0.10503755015260109,0.25,False
cbam_resnet_S18_seed3407,vit_b16_S12_seed42,242,0.10429751219390351,0.16279069767441862,False
resnet_baseline_S17_seed3407,vit_b16_S15_seed126,240,0.09699907984513617,0.16666666666666666,False
se_resnet_S6_seed126,vit_b16_S16_seed3407,241,0.09094081135763522,0.08695652173913043,False
resnet_baseline_S1_seed42,resnet_baseline_S3_seed84,241,0.08421607626624603,0.08695652173913043,True
cbam_resnet_S9_seed126,resnet_baseline_S1_seed42,241,0.08353280065841366,0.06382978723404255,False
cbam_resnet_S18_seed3407,vit_b16_S14_seed84,242,0.07594660719267786,0.13636363636363635,False
se_resnet_S6_seed126,vit_b16_S15_seed126,241,0.07292702582215975,0.16666666666666666,False
resnet_baseline_S17_seed3407,vit_b16_S14_seed84,240,0.072228684525773,0.11363636363636363,False
se_resnet_S4_seed42,vit_b16_S14_seed84,241,0.07218373855491925,0.08888888888888889,False
se_resnet_S2_seed42,vit_b16_S14_seed84,241,0.07218373855491925,0.08888888888888889,False
cbam_resnet_S9_seed126,vit_b16_S12_seed42,241,0.07115582456020027,0.1111111111111111,False
cbam_resnet_S8_seed84,se_resnet_S5_seed84,241,0.06819124858543947,0.06382978723404255,False
resnet_baseline_S1_seed42,se_resnet_S5_seed84,241,0.0632891533212167,0.08695652173913043,False
resnet_baseline_S17_seed3407,se_resnet_S5_seed84,240,0.06275369364051459,0.16279069767441862,False
se_resnet_S11_seed3407,vit_b16_S14_seed84,242,0.0602085230527328,0.1111111111111111,False
se_resnet_S11_seed3407,vit_b16_S12_seed42,242,0.056567604033968925,0.06382978723404255,False
se_resnet_S5_seed84,vit_b16_S12_seed42,241,0.054133088714378795,0.08695652173913043,False
cbam_resnet_S18_seed3407,resnet_baseline_S17_seed3407,240,0.05407559159013177,0.14285714285714285,False
cbam_resnet_S9_seed126,vit_b16_S16_seed3407,241,0.05380473920647441,0.08695652173913043,False
resnet_baseline_S3_seed84,vit_b16_S16_seed3407,241,0.043445869483213884,0.06382978723404255,False
cbam_resnet_S18_seed3407,vit_b16_S16_seed3407,242,0.03989896873085607,0.1111111111111111,False
cbam_resnet_S7_seed42,vit_b16_S16_seed3407,239,0.03525895713934109,0.06666666666666667,False
se_resnet_S2_seed42,vit_b16_S15_seed126,241,0.034385823531428966,0.16666666666666666,False
se_resnet_S4_seed42,vit_b16_S15_seed126,241,0.034385823531428966,0.16666666666666666,False
resnet_baseline_S3_seed84,vit_b16_S12_seed42,241,0.03207880388189706,0.13636363636363635,False
se_resnet_S11_seed3407,vit_b16_S15_seed126,242,0.026944070826882348,0.1111111111111111,False
