model,serial,seed,epoch,complete_run,true_label,predicted_label,count
cbam_resnet,8,84,33,True,DME,DRUSEN,0
cbam_resnet,8,84,33,True,DME,NORMAL,0
cbam_resnet,8,84,33,True,DRUSEN,CNV,10
cbam_resnet,8,84,33,True,DRUSEN,DME,0
cbam_resnet,8,84,33,True,DRUSEN,DRUSEN,232
cbam_resnet,8,84,33,True,DRUSEN,NORMAL,0
cbam_resnet,8,84,33,True,NORMAL,CNV,0
cbam_resnet,8,84,33,True,NORMAL,DME,0
cbam_resnet,8,84,33,True,NORMAL,DRUSEN,1
cbam_resnet,8,84,33,True,NORMAL,NORMAL,241
cbam_resnet,9,126,45,True,CNV,CNV,241
cbam_resnet,9,126,45,True,CNV,DME,1
cbam_resnet,9,126,45,True,CNV,DRUSEN,0
cbam_resnet,9,126,45,True,CNV,NORMAL,0
cbam_resnet,9,126,45,True,DME,CNV,1
cbam_resnet,9,126,45,True,DME,DME,241
cbam_resnet,9,126,45,True,DME,DRUSEN,0
cbam_resnet,9,126,45,True,DME,NORMAL,0
cbam_resnet,9,126,45,True,DRUSEN,CNV,9
cbam_resnet,9,126,45,True,DRUSEN,DME,0
cbam_resnet,9,126,45,True,DRUSEN,DRUSEN,233
cbam_resnet,9,126,45,True,DRUSEN,NORMAL,0
cbam_resnet,9,126,45,True,NORMAL,CNV,0
cbam_resnet,9,126,45,True,NORMAL,DME,0
cbam_resnet,9,126,45,True,NORMAL,DRUSEN,1
cbam_resnet,9,126,45,True,NORMAL,NORMAL,241
resnet_baseline,10,126,39,True,CNV,CNV,240
resnet_baseline,10,126,39,True,CNV,DME,2
resnet_baseline,10,126,39,True,CNV,DRUSEN,0
resnet_baseline,10,126,39,True,CNV,NORMAL,0
resnet_baseline,10,126,39,True,DME,CNV,0
resnet_baseline,10,126,39,True,DME,DME,242
resnet_baseline,10,126,39,True,DME,DRUSEN,0
resnet_baseline,10,126,39,True,DME,NORMAL,0
resnet_baseline,10,126,39,True,DRUSEN,CNV,6
resnet_baseline,10,126,39,True,DRUSEN,DME,0
resnet_baseline,10,126,39,True,DRUSEN,DRUSEN,236
resnet_baseline,10,126,39,True,DRUSEN,NORMAL,0
resnet_baseline,10,126,39,True,NORMAL,CNV,0
resnet_baseline,10,126,39,True,NORMAL,DME,0
resnet_baseline,10,126,39,True,NORMAL,DRUSEN,1
resnet_baseline,10,126,39,True,NORMAL,NORMAL,241
se_resnet,11,3407,42,True,CNV,CNV,242
se_resnet,11,3407,42,True,CNV,DME,0
se_resnet,11,3407,42,True,CNV,DRUSEN,0
se_resnet,11,3407,42,True,CNV,NORMAL,0
se_resnet,11,3407,42,True,DME,CNV,2
se_resnet,11,3407,42,True,DME,DME,240
se_resnet,11,3407,42,True,DME,DRUSEN,0
se_resnet,11,3407,42,True,DME,NORMAL,0
se_resnet,11,3407,42,True,DRUSEN,CNV,17
se_resnet,11,3407,42,True,DRUSEN,DME,0
se_resnet,11,3407,42,True,DRUSEN,DRUSEN,225
se_resnet,11,3407,42,True,DRUSEN,NORMAL,0
se_resnet,11,3407,42,True,NORMAL,CNV,0
se_resnet,11,3407,42,True,NORMAL,DME,0
se_resnet,11,3407,42,True,NORMAL,DRUSEN,0
se_resnet,11,3407,42,True,NORMAL,NORMAL,242
vit_b16,12,42,48,True,CNV,CNV,242
vit_b16,12,42,48,True,CNV,DME,0
vit_b16,12,42,48,True,CNV,DRUSEN,0
vit_b16,12,42,48,True,CNV,NORMAL,0
vit_b16,12,42,48,True,DME,CNV,1
vit_b16,12,42,48,True,DME,DME,241
vit_b16,12,42,48,True,DME,DRUSEN,0
vit_b16,12,42,48,True,DME,NORMAL,0
vit_b16,12,42,48,True,DRUSEN,CNV,9
vit_b16,12,42,48,True,DRUSEN,DME,0
vit_b16,12,42,48,True,DRUSEN,DRUSEN,233
vit_b16,12,42,48,True,DRUSEN,NORMAL,0
vit_b16,12,42,48,True,NORMAL,CNV,0
vit_b16,12,42,48,True,NORMAL,DME,0
vit_b16,12,42,48,True,NORMAL,DRUSEN,0
vit_b16,12,42,48,True,NORMAL,NORMAL,242
vit_b16,13,84,4,False,CNV,CNV,241
vit_b16,13,84,4,False,CNV,DME,1
vit_b16,13,84,4,False,CNV,DRUSEN,0
vit_b16,13,84,4,False,CNV,NORMAL,0
vit_b16,13,84,4,False,DME,CNV,4
vit_b16,13,84,4,False,DME,DME,234
vit_b16,13,84,4,False,DME,DRUSEN,0
vit_b16,13,84,4,False,DME,NORMAL,4
vit_b16,13,84,4,False,DRUSEN,CNV,11
vit_b16,13,84,4,False,DRUSEN,DME,0
vit_b16,13,84,4,False,DRUSEN,DRUSEN,228
vit_b16,13,84,4,False,DRUSEN,NORMAL,3
vit_b16,13,84,4,False,NORMAL,CNV,0
vit_b16,13,84,4,False,NORMAL,DME,1
vit_b16,13,84,4,False,NORMAL,DRUSEN,1
vit_b16,13,84,4,False,NORMAL,NORMAL,240
vit_b16,14,84,48,True,CNV,CNV,241
vit_b16,14,84,48,True,CNV,DME,1
vit_b16,14,84,48,True,CNV,DRUSEN,0
