model,serial,seed,epoch,complete_run,class,precision_pct,recall_pct,f1_pct,support
resnet_baseline,1,42,46,True,CNV,97.17741935483872,99.58677685950413,98.36734693877551,242
resnet_baseline,1,42,46,True,DME,99.58847736625515,100.0,99.79381443298969,242
resnet_baseline,1,42,46,True,DRUSEN,99.57627118644068,97.10743801652893,98.32635983263597,242
resnet_baseline,1,42,46,True,NORMAL,100.0,99.58677685950413,99.79296066252587,242
se_resnet,2,42,47,True,CNV,93.7984496124031,100.0,96.8,242
se_resnet,2,42,47,True,DME,100.0,99.58677685950413,99.79296066252587,242
se_resnet,2,42,47,True,DRUSEN,99.56140350877193,93.80165289256198,96.59574468085106,242
se_resnet,2,42,47,True,NORMAL,100.0,99.58677685950413,99.79296066252587,242
resnet_baseline,3,84,50,True,CNV,96.03174603174604,100.0,97.97570850202429,242
resnet_baseline,3,84,50,True,DME,100.0,99.58677685950413,99.79296066252587,242
resnet_baseline,3,84,50,True,DRUSEN,99.57264957264957,96.28099173553719,97.89915966386555,242
resnet_baseline,3,84,50,True,NORMAL,100.0,99.58677685950413,99.79296066252587,242
se_resnet,4,42,47,True,CNV,93.7984496124031,100.0,96.8,242
se_resnet,4,42,47,True,DME,100.0,99.58677685950413,99.79296066252587,242
se_resnet,4,42,47,True,DRUSEN,99.56140350877193,93.80165289256198,96.59574468085106,242
se_resnet,4,42,47,True,NORMAL,100.0,99.58677685950413,99.79296066252587,242
se_resnet,5,84,42,True,CNV,94.53125,100.0,97.18875502008032,242
se_resnet,5,84,42,True,DME,100.0,99.17355371900827,99.5850622406639,242
se_resnet,5,84,42,True,DRUSEN,99.56709956709958,95.0413223140496,97.25158562367865,242
se_resnet,5,84,42,True,NORMAL,100.0,99.58677685950413,99.79296066252587,242
se_resnet,6,126,48,True,CNV,94.50980392156862,99.58677685950413,96.98189134808854,242
se_resnet,6,126,48,True,DME,99.5850622406639,99.17355371900827,99.37888198757764,242
se_resnet,6,126,48,True,DRUSEN,99.56709956709958,95.0413223140496,97.25158562367865,242
se_resnet,6,126,48,True,NORMAL,100.0,99.58677685950413,99.79296066252587,242
cbam_resnet,7,42,49,True,CNV,93.77431906614785,99.58677685950413,96.59318637274549,242
cbam_resnet,7,42,49,True,DME,99.1769547325103,99.58677685950413,99.38144329896907,242
cbam_resnet,7,42,49,True,DRUSEN,99.12663755458514,93.80165289256198,96.39065817409767,242
cbam_resnet,7,42,49,True,NORMAL,100.0,98.7603305785124,99.37629937629939,242
